date,btc-US,btc-CA,btc-AU,btc-GB,btc-FR,btc-IT,btc-ES,btc-DE,btc-AT,btc-CH,btc-CN,btc-HK,btc-SG,btc-RU,btc-IN
2015-08-02,2,2,2,2,2,2,1,2,2,2,5,2,3,3,5
2015-08-09,2,2,2,2,1,2,1,2,2,2,5,2,2,3,5
2015-08-16,2,2,2,3,2,2,1,2,2,2,5,3,2,3,3
2015-08-23,2,3,2,2,2,2,1,2,3,2,4,3,2,4,3
2015-08-30,2,2,2,2,1,2,1,2,2,2,5,2,2,4,4
2015-09-06,2,2,2,2,2,2,1,2,2,2,0,2,2,3,9
2015-09-13,2,2,2,2,1,1,1,1,2,1,0,3,2,4,5
2015-09-20,2,2,2,2,2,2,1,1,1,1,4,2,2,3,7
2015-09-27,1,2,2,2,1,2,1,1,2,1,12,2,1,3,5
2015-10-04,2,2,2,2,2,2,1,2,2,1,10,3,2,3,5
2015-10-11,1,2,2,2,2,2,1,2,2,2,4,3,2,3,4
2015-10-18,1,2,2,2,2,2,1,2,2,2,7,3,2,3,4
2015-10-25,2,2,2,3,2,2,1,2,3,2,5,4,2,4,5
2015-11-01,3,4,3,4,2,3,2,3,5,3,11,6,3,6,5
2015-11-08,2,3,2,3,2,2,1,2,4,2,6,5,2,4,3
2015-11-15,2,2,2,2,1,2,1,2,4,2,6,4,3,4,4
2015-11-22,2,2,2,2,2,2,1,3,3,2,10,4,3,4,3
2015-11-29,2,2,2,2,2,2,1,2,2,2,4,2,2,3,4
2015-12-06,3,4,4,4,3,3,2,3,4,3,4,5,4,5,4
2015-12-13,2,3,2,3,2,2,1,2,4,2,4,5,2,3,4
2015-12-20,2,2,2,3,2,2,1,2,3,2,8,3,3,4,3
2015-12-27,2,2,2,2,2,2,1,2,3,1,7,3,2,4,4
2016-01-03,2,2,2,3,2,2,1,2,2,2,7,4,3,4,3
2016-01-10,2,3,2,3,2,2,1,2,4,2,2,3,3,5,3
2016-01-17,2,3,2,3,2,2,2,2,3,2,5,3,3,4,4
2016-01-24,2,2,2,3,2,2,1,2,3,2,8,2,2,4,3
2016-01-31,2,2,2,3,2,2,1,2,3,2,5,4,3,4,3
2016-02-07,2,2,2,2,2,2,1,2,3,2,11,2,3,4,3
2016-02-14,2,3,2,3,2,2,1,2,3,2,6,4,3,4,3
2016-02-21,2,3,2,3,2,2,1,2,3,2,4,2,2,4,4
2016-02-28,2,2,2,3,2,2,1,2,3,2,5,3,3,4,3
2016-03-06,2,2,2,3,2,2,1,2,3,2,5,4,2,4,3
2016-03-13,2,2,2,3,2,2,1,2,2,2,7,3,2,4,4
2016-03-20,2,2,1,2,2,2,1,2,2,2,8,3,3,4,3
2016-03-27,2,2,1,2,2,2,1,2,3,1,6,2,2,4,3
2016-04-03,2,2,1,2,2,2,1,2,2,2,2,3,2,4,3
2016-04-10,2,2,2,2,2,2,1,2,2,2,6,3,2,3,3
2016-04-17,2,2,1,2,2,2,1,2,3,2,5,3,2,3,3
2016-04-24,2,2,1,3,2,2,1,2,3,2,5,2,3,4,4
2016-05-01,2,3,4,7,3,3,2,3,4,3,5,8,3,5,5
2016-05-08,2,2,2,3,2,3,1,2,3,4,2,3,3,4,4
2016-05-15,2,2,2,3,2,2,1,2,3,2,9,4,2,4,3
2016-05-22,2,2,2,2,2,2,1,2,2,2,4,3,3,4,4
2016-05-29,2,3,2,3,2,2,1,2,3,3,8,4,4,4,5
2016-06-05,2,3,2,3,2,2,1,2,3,2,7,5,4,4,5
2016-06-12,4,4,3,4,3,3,2,3,4,3,11,6,6,6,7
2016-06-19,3,4,3,5,3,3,1,3,4,4,11,6,6,5,9
2016-06-26,3,3,2,4,2,2,1,2,3,2,6,6,4,4,9
2016-07-03,2,3,2,4,2,2,1,2,3,2,11,4,4,5,8
2016-07-10,2,2,2,3,2,2,1,2,2,2,2,6,3,4,7
2016-07-17,2,2,2,2,2,2,1,2,3,1,3,4,3,4,5
2016-07-24,2,2,2,2,1,2,1,2,3,2,7,3,3,4,5
2016-07-31,2,3,3,4,2,3,2,3,4,3,6,6,4,5,7
2016-08-07,2,2,2,2,1,2,1,2,3,2,9,4,2,4,11
2016-08-14,2,2,1,2,2,2,1,2,2,2,8,4,2,5,9
2016-08-21,2,2,1,2,2,2,1,2,2,2,5,1,2,4,11
2016-08-28,2,2,2,2,2,2,1,2,2,2,2,1,3,4,9
2016-09-04,2,2,2,2,1,2,1,2,2,2,8,3,3,4,8
2016-09-11,2,2,2,2,2,2,1,2,2,2,4,3,3,5,8
2016-09-18,2,2,2,2,2,2,1,2,2,2,5,4,2,4,6
2016-09-25,2,2,2,2,1,2,1,1,2,2,6,5,2,4,4
